plain_language_program_name,language,get_help_summary,how_to_apply_or_enroll_by_1,office_locations_url
শিক্ষার্থীদের জন্য আফটারস্কুল কর্মসূচি,Bengali,"অনলাইন (http://www1.nyc.gov/site/dycd/services/after-school/comprehensive-after-school-system-of-new-york-city-compass.page) DYCD থেকে COMPASS সম্পর্কে আরও জানুন।কল করুনDYCD ইউথ কানেক্ট-কে 800-246-4646 অথবা 646-343-6800 নম্বরে ফোন করুন। আরো তথ্যের জন্য আপনি আপনার সন্তানের স্কুল ছুটির পরের কার্যক্রমের কর্মীর সঙ্গেও কথা বলতে পারেন।311-তে কল করুন""স্কুল ছুটির পরের ব্যাপক কার্যক্রমের সহায়তার"" ব্যাপারে জিজ্ঞাসা করুন।",,
필요할 경우 월 현금 보조금액,Korean,\n이 프로그램과 관련한 자세한 내용은 (https://access.nyc.gov/locations/?programs=6859) 현금 지원 웹 사이트에서 확인할 수 있습니다.\n자세한 내용은 HRA 인포라인에 718-557-1399번으로 문의해 주십시오.,,{'url': 'http://www1.nyc.gov/site/hra/locations/job-locations.page'}
減少房主的財產稅,Chinese (Traditional),\n造訪 STAR 網站 (https://tax.ny.gov/pit/property/star/default.htm) 瞭解更多資訊。\n致電 311 (http://www1.nyc.gov/site/finance/about/contact-by-email/contact-exemptions-inquiries.page) 瞭解更多資訊。\n如果您對 STAR 有疑問，請寄送電子郵件至紐約市財政部。\n致電 518-457-2036 聯繫紐約州稅務和財政部，了解有關紐約州 STAR 稅收抵免的更多信息。,"如果您的收入大於 250, 000 美元且小於或等於 500,000 美元，您可以 在線註冊紐約州 STAR 稅收抵免 (https://www.tax.ny.gov/pit/property/star/) 或致電 518-457-2036。",
Замораживание арендной платы для пожилых граждан,Russian,"\nПодробную информацию об этой программе см. на веб-странице SCRIE (http://nyc.gov/rentfreeze) .\nОзнакомьтесь с Программой освобождения от повышения арендной платы (SCRIE и DRIE) и часто задаваемыми вопросами о COVID-19 (https://www1.nyc.gov/site/rentfreeze/help/covid-19-frequently-asked-questions.page) .\nДля получения дополнительной информации (http://www1.nyc.gov/site/finance/about/contact-by-email/contact-scrie.page) напишите электронное письмо в SCRIE (https://www1.nyc.gov/site/hpd/services-and-information/scrie-drie.page) \nПозвоните по номеру 311 и попросите к телефону специалиста по SCRIE или воспользуйтесь номером 212-639-9675, если у вас проблемы со слухом.В случае SCRIE, которую контролирует HPD:\nДля получения подробной информации напишите электронное письмо в HPD, если вы хотите подать заявку или живете в домах программы Mitchell-Lama или компании по реконструкции жилых районов.\nДля получения подробной информации посетите веб-сайт HPD или позвоните по номеру 212-863-8494 , если у вас возникли вопросы.","Если вы живете в домах программы Mitchell-Lama или компании по реконструкции жилых районов, то для подачи заявки на участие в программе SCRIE, которую контролирует Департамент по сохранению и развитию жилищного фонда (HPD), позвоните в HPD по номеру 212-863-8494.",{'url': 'https://www1.nyc.gov/site/rentfreeze/help/help-temporary-centers.page'}
سابق فوجیوں کے لیے پراپرٹی ٹیکس میں وقفہ,Urdu,\nمزید معلومات کے لیے سابقہ فوجیوں کے استثناء کی ویب سائیٹ ملاحظہ کریں (http://www1.nyc.gov/site/finance/benefits/landlords-veterans.page) ۔\nذاتی طور پر مدد حاصل کرنے کے لیے اپنے قریبی شعبۂ مالیات (Department of Finance) کے دفتر کا دورہ کریں (http://www1.nyc.gov/site/finance/pay-now/person.page) ۔\nاگر آپ کے کوئی سوالات ہیں، تو 311 پر کال کریں اور Veterans' Exemption (سابقہ فوجیوں کا استثناء) کے بارے میں پوچھیں۔,,
Diminution des impôts fonciers pour les propriétaires,French,"\nRendez-vous sur le site web de STAR (https://tax.ny.gov/pit/property/star/default.htm) pour obtenir plus d'informations.\nAppelez le 311 (http://www1.nyc.gov/site/finance/about/contact-by-email/contact-exemptions-inquiries.page) pour en savoir plus.\nEnvoyez un email au ministère des finances de la ville de New York si vous avez des questions sur STAR.\nContactez le Département des impôts et des finances de l'État de New York au 518-457-2036 Pour plus d'informations sur le crédit d'impôt STAR de l'État de New York,","Si votre revenu est supérieur à 250 000 $ et inférieur ou égal à 500 000 $, vous pouvez vous inscrire en ligne pour le crédit d'impôt STAR de l'État de New York (https://www.tax.ny.gov/pit/property/star/) ou en appelant le 518-457-2036.",
قسائم تسديد جزء من الإيجار,Arabic,\n (http://www1.nyc.gov/site/nycha/section-8/about-section-8.page) معرفة المزيد حول برنامج المادة 8 (https://wb-nycha.qmatic.cloud/) من الموقع الإلكتروني لهيئة NYCHA.\nاتصل بمركز التواصل مع العملاء (CCC) التابع لهيئة الإسكان بمدينة نيويورك على الرقم 718-707-7771.\nحدد موعدًا‎ لزيارة مركز اتصال العملاء‏ .,,
Ulga podatkowa od nieruchomości dla weteranów,Polish,"\nWięcej informacji można uzyskać na stronie internetowej poświęconej zwolnieniu z podatku dla weteranów (http://www1.nyc.gov/site/finance/benefits/landlords-veterans.page) .\nOsobistą pomoc można uzyskać w biurze Departamentu Finansów (http://www1.nyc.gov/site/finance/pay-now/person.page) (Department of Finance) w swojej okolicy.\nW razie pytań na temat programu proszę zadzwonić pod numer 311 i zapytać o zwolnienie weteranów z podatku.\nUzyskaj pomoc wysyłając pismo do Departamentu Finansów (Department of Finance):NYC Department of Finance Correspondence Unit One Centre Street, 22nd Floor New York, NY 10007",,
Alèjman taks sou pwopriyete pou veteran yo,Korean,\n자세한 내용은 재향 군인 면제 웹 사이트 (http://www1.nyc.gov/site/finance/benefits/landlords-veterans.page) 에서 확인할 수 있습니다.\n방문하여 도움을 받으려면 인근 재무부(Department of Finance) (http://www1.nyc.gov/site/finance/pay-now/person.page) 사무소를 방문해 주십시오\n프로그램 또는 재향 군인 면제와 관련하여 의문 사항이 있는 경 311번으로 전화해 주십시오.,,
Reduce property taxes for homeowners,English,\nVisit the STAR website (https://tax.ny.gov/pit/property/star/default.htm) for more information.\nEmail the (http://www1.nyc.gov/site/finance/about/contact-by-email/contact-exemptions-inquiries.page) NYC Department of Finance (http://www1.nyc.gov/site/finance/about/contact-us.page) if you have questions about STAR.\nFind a DOF center to get help in person.\nCall the New York State Department of Taxation and Finance at 518-457-2036 for more information about the New York State STAR tax credit.\nCall 311 to find out more.,Register for the New York State STAR tax credit by calling 518-457-2036.,
Crédito fiscal para personas y familias trabajadoras,Spanish,\nObtenga más información sobre los créditos fiscales (https://www1.nyc.gov/site/dca/consumers/get-tax-credit-information.page) que puede reclamar.\nLlame al 800-906-9887 para encontrar el centro de Asistencia Voluntaria para los Impuestos (VITA) o de Asesoría sobre Impuestos para Adultos Mayores (TCE) más cerca de usted.,,{'url': 'https://a866-dcwpwb.nyc.gov/ftps_map/'}
প্রবীণ নাগরিকদের জন্য রেন্ট ফ্রিজ,Bengali,\nএই প্রোগ্রাম সম্পর্কে আরও জানতে SCRIE ওয়েবসাইট (http://nyc.gov/rentfreeze) দেখুন।\nরেন্ট ফ্রিজ প্রোগ্রাম (Rent Freeze Program) (SCRIE and DRIE) এবং COVID-19 সচরাচর জিজ্ঞাস্য প্রশ্নগুলি (COVID-19 frequently asked questions) (https://www1.nyc.gov/site/rentfreeze/help/covid-19-frequently-asked-questions.page) পর্যালোচনা করুন।\nআরও তথ্যের জন্য (http://www1.nyc.gov/site/finance/about/contact-by-email/contact-scrie.page) SCRIE -কে ইমেল করুন (https://www1.nyc.gov/site/hpd/services-and-information/scrie-drie.page) \n311 নম্বরে ফোন করুন এবং একজন SCRIE বিশেষজ্ঞ বা 212-639-9675 কে জিজ্ঞাসা করুন যদি আপনার শুনতে অসুবিধা হয়HPD-সুপারভাইজড্ SCRIE এর জন্য:\nযদি আপনি Mitchell-Lama বা রিডেভেলপমেন্ট কোম্পানি ডেভেলপমেন্ট বাস করেন তাহলে আরও তথ্যের জন্য HPD -কে ইমেল করুন।\nআরও জানতে HPD-এর ওয়েবসাইট দেখুন বা যেকোনো প্রশ্নের জন্য 212-863-8494 নম্বরে কল করুন।,যদি আপনি মিশেল-লামা (Mitchell-Lama) অথবা রিডেভেলপমেন্ট কোম্পানি (Redevelopment Company) ডেভেলপমেন্ট হাউজিংয়ে বসবাস করেন তাহলে ফোন করে আবেদনের জন্য 212-863-8494 নম্বরে HPD-কে কল করুন।,{'url': 'https://www1.nyc.gov/site/rentfreeze/help/help-temporary-centers.page'}
المساعدة النقدية الشهرية عندما تكون في حاجة إليها,Arabic,\nقم بزيارة موقع برنامج المساعدة النقدية الإلكتروني (http://www1.nyc.gov/site/hra/help/cash-assistance.page) لمعرفة المزيد عن هذا البرنامج.\nاتصل بخط معلومات إدارة الموارد البشرية (HRA) على رقم الهاتف 1399-557-718 لمزيد من المعلومات.,,{'url': 'http://www1.nyc.gov/site/hra/locations/job-locations.page'}
為您分擔部分租金的補助券,Chinese (Traditional),"\n造訪 NYCHA 的網站 (http://www1.nyc.gov/site/nycha/section-8/about-section-8.page) 詳細瞭解第 8 節 (https://wb-nycha.qmatic.cloud/) 。\n請致電 718-707-7771 與 NYCHA 的客戶聯絡中心 (Customer Contact Center, CCC) 聯繫。\n辦理預約以造訪客戶聯絡中心。",,
Программа налоговых льгот для пожилых домовладельцев,Russian,"\nПосетите веб-сайт SCHE (http://www1.nyc.gov/site/finance/benefits/landlords-sche.page) , чтобы получить дополнительную информацию.\nПозвоните по номеру 212-NEW-YORK (http://www1.nyc.gov/site/finance/about/contact-by-email/contact-exemptions-inquiries.page) . Пользователи телетайпа или текстового телефона могут позвонить по номеру 212-639-9675.\nЧтобы получить дополнительную информацию, напишите электронное письмо в SCHE.",,{'url': 'http://www1.nyc.gov/site/finance/pay-now/person.page'}
Ranbousman taks si ou te peye pou swen timoun ak depandan,Haitian Creole,,,{'url': 'https://a866-dcwpwb.nyc.gov/ftps_map/'}
الإعفاء الضريبي على الممتلكات لسكان نيويورك المعاقين,Arabic,\nقم بزيارة مركز أعمال Department of Finance (http://www1.nyc.gov/site/finance/pay-now/person.page) (من الاثنين إلى الجمعة، من الساعة 8:30 صباحاً حتى 4:30 مساءً) للحصول على مساعدة شخصية.\nقم بزيارة موقع DHE الإلكتروني (http://www1.nyc.gov/site/finance/benefits/landlords-dhe.page)  لمعرفة المزيد.\nاتصل ببرنامج DHE على الرقم 9675-639-212 (http://www1.nyc.gov/site/finance/about/contact-by-email/contact-exemptions-inquiries.page) أو 9675-639-212 (خارج المدينة) أو رقم الهاتف النصي 9675-639-212 (ضعاف السمع).\nقم بإرسال رسالة بريد إلكتروني إلى DHE لمرفة المزيد من المعلومات.,,{'url': 'http://www1.nyc.gov/site/finance/pay-now/person.page'}
Redwi taks sou pwopriyete pou pwopriyetè kay yo,Haitian Creole,\nVizite sitwèb STAR (https://tax.ny.gov/pit/property/star/default.htm)   a pou plis enfòmasyon.\nRele 311 (http://www1.nyc.gov/site/finance/about/contact-by-email/contact-exemptions-inquiries.page) pou jwenn plis enfòmasyon.\nImèl Depatman Finans NYC si ou gen kesyon konsènan STAR.\nKontakte Depatman Taksasyon ak Finans Eta New York nan 518-457-2036 Pou plis enfòmasyon sou kredi taks STAR Eta New York.,"Si revni ou pi gran pase $ 250, 000 ak mwens pase oswa egal a $ 500,000, ou ka enskri sou entènèt pou kredi taks STAR Eta New York (https://www.tax.ny.gov/pit/property/star/) oswa lè w rele 518-457-2036.",
私人健康保險計畫,Chinese (Traditional),瞭解有關健康保險選項的更多資訊透過 HRA 全市健康保險管道 (CitywideHealth Insurance Access) (https://www1.nyc.gov/site/ochia/coverage-care/insurance-options.page) 瞭解關於您的選項的更多資訊。請求提供投保幫助GetCoveredNYC (https://www1.nyc.gov/nyc-resources/get-covered.page) 幫助紐約市民投保健康保險。敬業的專員可以使用您的語言，免費為您提供協助。請求與顧問通話填寫健康保險投保協助問詢表 (https://nycdohmh.surveymonkey.com/r/7BB62M3) ，即可接聽投保顧問的來電。免費提供多種語言的投保協助，無論您的移民身分為何。您的資訊會予以保密。撥打 311瞭解關於健康保險的一般問題，以及尋找現場協助員。,請致電 NY State of Health，電話號碼為855-355-5777，或 TTY：800-662-1220。,
음식을 사기 위한 돈,Korean,\n자세한 내용은 SNAP 웹 사이트 (https://www1.nyc.gov/site/hra/help/snap-benefits-food-program.page) 에서 확인할 수 있습니다.\nSNAP 신청과 관련한 도움을 받으려면 HRA 인포라인에 718-557-1399 (https://www1.nyc.gov/site/hra/locations/snap-locations.page) 번으로 문의해 주십시오.\nSNAP 센터 (https://www1.nyc.gov/site/hra/partners/find-a-partner-organization.page) 나 인근 커뮤니티 기반 기관(CBO)에 방문하여 직접 도움을 받을 수 있습니다.,,{'url': 'https://www1.nyc.gov/site/hra/locations/snap-locations.page'}
کام کاجی افراد اور فیملیز کے لیے ٹیکس کریڈٹ,Urdu,,,{'url': 'https://a866-dcwpwb.nyc.gov/ftps_map/'}
প্রতিবন্ধী নিউ ইয়র্কবাসীদের জন্য সম্পত্তি করের একটি বিরতি,Bengali,"\nসশরীরে সাহায্য পাওয়ার জন্য ফাইন্যান্স বিজনেস সেন্টারে (http://www1.nyc.gov/site/finance/pay-now/person.page) যান (সোম থেকে শুক্র, সকাল 8:30- বিকাল 4:30)\nআরো জানতে DHE ওয়েবসাইট (http://www1.nyc.gov/site/finance/benefits/landlords-dhe.page) দেখুন।\nDHE কে 212-NEW-YORK (http://www1.nyc.gov/site/finance/about/contact-by-email/contact-exemptions-inquiries.page) বা 212-639-9675 (শহরের বাইরে থাকলে) নম্বরে বা TTY 212-639-9675 (শ্রবণ প্রতিবন্ধী) নম্বরে ফোন করুন।\nআরো তথ্যের জন্যDHE তে ইমেল করুন।",,{'url': 'http://www1.nyc.gov/site/finance/pay-now/person.page'}
